title,publishedAt,sentiment
"Tesla police cruiser, Trump voters love solar, and at least the mines will be nice",2024-11-07,Positive
Dow Jones Surges On Trump Win. What To Do As Stock Market Signals Bull Run.,2024-11-07,Positive
Trump Lackey Elon Musk's Biggest Controversies: From Targeting The Don's Showbiz Nemesis Taylor Swift to Bitter Attacks on Joe Biden and Kamala Harris,2024-11-07,Negative
How Elon Musk’s $130 million investment in Trump’s victory could reap a huge pay off for Tesla and the rest of his business empire,2024-11-07,Positive
[Removed],2024-11-07,Neutral
Man who used legal loophole to live rent-free for years in NYC hotel found unfit to stand trial,2024-11-07,Neutral
Tesla shares soar more than 14% as Trump win is seen boosting Elon Musk's electric vehicle company,2024-11-07,Positive
Asian shares retreat after Trump's victory as focus turns to the Fed,2024-11-07,Negative
Analysts pick 3 stocks that could rock after President Trump's win,2024-11-07,Neutral
Trump has won the US election but isn't president yet. Here's when that'll happen,2024-11-07,Neutral
How Musk's clout with Trump could enrich his companies,2024-11-07,Neutral
How Donald Trump's US Election Win Would Benefit Elon Musk's Companies,2024-11-07,Positive
"Stocks and bitcoin jump after Trump's victory. So do worries about inflation as Dow surges 1,500",2024-11-07,Negative
"Elon Musk Net Worth Up $15 Billion with Trump Win, Cybertruck Motorcade Next?",2024-11-07,Neutral
Trump presidency 2.0: A sequel likely to outdo his first stint in power,2024-11-07,Neutral
Are Employers Easing Off Degree Requirements?,2024-11-07,Neutral
Stock Market Today: Asian shares retreat after Trump's victory as focus turns to the Fed,2024-11-07,Negative
Mars Auto Gears Up for Intense Competition in the US Autonomous Trucking Market,2024-11-07,Negative
Jim Cramer ascribes market rally to Trump's victory and pro-big business policies,2024-11-07,Positive
"In Trump 2.0, A Galaxy Of Contrarian Characters Set For White House Stints",2024-11-07,Neutral
Appen share price lifts 5% on oversubscribed SPP results,2024-11-07,Positive
Stocks surge to record highs as Trump returns to presidency,2024-11-07,Positive
CNBC Daily Open: The Trump rally begins,2024-11-07,Neutral
"Stock market today: Dow, Nasdaq, S&P 500 all soar to records after Trump triumphs in election",2024-11-07,Neutral
Recent tech layoffs reflect not just economic realities but cultural truths,2024-11-07,Negative
"Introducing Narrative Command, the new VC thesis that helps explain the 2024 election",2024-11-07,Neutral
Donald Trump win to test limit of presidential power; Kamala Harris concedes but vows 'fight',2024-11-07,Neutral
Tesla shares soar more than 14% as Trump win is seen boosting Elon Musk's electric vehicle company - The Associated Press,2024-11-07,Positive
"The Trump effect – euro sees biggest one-day drop since Brexit, oil and crypto rise, but renewables fall",2024-11-07,Negative
Elon Musk Helped Elect Trump. What Does He Expect in Return? - The New York Times,2024-11-07,Neutral
Stock futures are little changed after major post-election rally as focus shifts to Fed: Live updates - CNBC,2024-11-07,Neutral
US Election: The President Donald Trump - Jacinda Ardern combo did not go well but how will PM Christopher Luxon handle a Trump charm offensive?,2024-11-07,Neutral
Elon Musk Net Worth: World's richest man's wealth soars $21 billion after Donald Trump's presidential win,2024-11-07,Positive
Hot Wheels Tesla Roadster RC 1:10 Racer $124.99 Delivered @ Costco (Membership Required),2024-11-07,Neutral
"Mega Bloks Tesla Cybertruck With 3,283 Pieces $139.99 (Was $189.99) Delivered @ Costco Online (Membership Required)",2024-11-07,Neutral
What Effect Will Another Trump Presidency Have on Consumer Tech?,2024-11-07,Neutral
What’s the Truth About EV Adoption?,2024-11-07,Neutral
Who Might Be in Trump's New Cabinet? List of Reported Contenders,2024-11-07,Neutral
How Elon Musk’s $130 million investment in Trump's victory could reap a huge pay off for Tesla and the rest of his business empire,2024-11-07,Positive
And Now We’ll See,2024-11-07,Neutral
Harris gives defiant concession after stunning Trump win,2024-11-07,Neutral
Xero and 2 other ASX tech shares cracking all-time highs on Thursday,2024-11-07,Neutral
"Binance's Tri-Party Model: How It’s Calming Institutional Investor Concerns, According to Division Head",2024-11-07,Neutral
Donald Trump victory gives Narendra Modi chance to reset India’s image with West,2024-11-07,Positive
Trump win to test limit of presidential power; Harris concedes but vows to 'fight',2024-11-07,Negative
Trump Victory Gives Modi Chance to Reset India’s Image With West,2024-11-07,Positive
Trump's newest economic sherpas are not like his old ones,2024-11-07,Neutral
Trump victory gives Modi chance to reset India’s image with the West,2024-11-07,Positive
How Elon Musk’s $130 million investment in Trump's victory could reap a huge pay off for Tesla and the rest of his business empire - Fortune,2024-11-07,Positive
"Elon Musk’s $20 Billion Net Worth Jump Leads Billionaire Surge After Trump’s Win—Fortunes Of Bezos, Buffett And More Swell - Forbes",2024-11-07,Positive
"'What's Starlink?' Trump talks Elon Musk, Starship and SpaceX in election night victory speech (video) - Space.com",2024-11-07,Neutral
Seth Meyers Jokes Trump Will Run Again in 2028: 'Hail Supreme Leader',2024-11-07,Neutral
The Elon Musk effect: How Donald Trump gained from billionaire’s support,2024-11-07,Neutral
Xpeng details new AI Turing chip for its future cars – equivalent to 3 Nvidia Orin X or 2 Tesla FSD chips,2024-11-07,Neutral
"Like a true fascist, MSNBC’s Rachel Maddow says Kamala needs to cancel every one of Elon Musk’s contracts with government because he’s a “national security” threat",2024-11-07,Negative
"Van Jones: Need to Look at Social Media Regulation, They're Big and Musk Has a Lot of Power",2024-11-07,Neutral
Elon Musk endorses abolishing the Federal Reserve,2024-11-07,Neutral
Big Tech CEOs Congratulate President-Elect Donald Trump,2024-11-07,Neutral
Watch These Tesla Price Levels as Stock Surges to 15-Month High,2024-11-07,Positive
Three key issues Donald Trump and Elon Musk may clash over,2024-11-07,Negative
